latitude,longitude,blue_band,green_band,depth,stumpf_ratio,log_blue,log_green,bg_ratio
17.04375,83.25208333,0.04185,0.03255,478,1.0721592,-3.173663482,-3.42497791,1.285714286
9.835416667,74.96041667,0.0478,0.0427,2316,1.030053474,-3.040729639,-3.153556359,1.119437939
14.08541667,72.41875,0.04215,0.0281,2036,1.121550694,-3.166520595,-3.571985703,1.5
16.71041667,84.00208333,0.0435,0.03525,2929,1.059030861,-3.134994341,-3.34528975,1.234042553
9.29375,82.29375,0.0465,0.0389,3730,1.048745791,-3.068302966,-3.246761028,1.195372751
9.54375,75.58541667,0.042,0.0373,771,1.032792625,-3.170085661,-3.288761952,1.126005362
10.83541667,75.12708333,0.0504,0.0383,847,1.075310671,-2.987764104,-3.262305383,1.315926893
17.87708333,84.41875,0.0407,0.0326,1955,1.063689987,-3.201527187,-3.423442991,1.248466258
22.96041667,68.08541667,0.0407,0.037,29,1.026395,-3.201527187,-3.296837366,1.1
8.085416667,70.91875,0.0376,0.0217,4072,1.178627238,-3.280751229,-3.830443018,1.732718894
10.46041667,80.00208333,0.05485,0.05385,12,1.004615868,-2.903153092,-2.921552875,1.018570102
17.12708333,70.58541667,0.03895,0.026366667,2925,1.119243942,-3.245476507,-3.63565468,1.477243976
8.085416667,72.04375,0.03905,0.0282,2815,1.097481136,-3.242912403,-3.568433301,1.384751773
11.29375,73.41875,0.0445,0.033,1923,1.085508646,-3.11226609,-3.411247718,1.348484848
7.710416667,73.58541667,0.0385,0.0246,2408,1.139852407,-3.257097038,-3.705008836,1.56504065
18.83541667,85.87708333,0.04985,0.04095,1992,1.052976306,-2.998736783,-3.195403469,1.217338217
20.66875,88.25208333,0.0481,0.03985,104,1.0510593,-3.034473102,-3.222632874,1.207026349
22.71041667,69.37708333,0.0934,0.1124,15,0.960785666,-2.370863934,-2.185691342,0.830960854
20.00208333,87.33541667,0.037,0.0285,919,1.077916806,-3.296837366,-3.557851192,1.298245614
7.335416667,76.58541667,0.0412,0.0232,1700,1.182652088,-3.189317023,-3.763603,1.775862069
8.127083333,78.75208333,0.0451,0.0385,1618,1.043341226,-3.098873032,-3.257097038,1.171428571
12.25208333,81.16875,0.0566,0.0464,3379,1.05178369,-2.871746294,-3.07045582,1.219827586
9.710416667,72.46041667,0.05,0.0369,1828,1.084200012,-2.995732274,-3.299543728,1.35501355
20.58541667,89.91875,0.0343,0.02815,116,1.059204553,-3.372609925,-3.570207924,1.218472469
6.29375,76.16875,0.04305,0.0287,2052,1.120785682,-3.145393048,-3.550858156,1.5
9.835416667,81.46041667,0.0396,0.035,3617,1.034731074,-3.228926161,-3.352407217,1.131428571
8.252083333,82.16875,0.055,0.0456,3671,1.049065444,-2.900422094,-3.087847562,1.206140351
18.71041667,71.08541667,0.04395,0.03255,80,1.086217183,-3.124702655,-3.42497791,1.350230415
10.25208333,79.29375,0.0666,0.07695,2,0.966740479,-2.709050701,-2.564599419,0.865497076
22.58541667,69.96041667,0.0774,0.0917,2,0.962479859,-2.558768498,-2.3892329,0.844056707
8.002083333,81.62708333,0.0482,0.03235,41,1.114693491,-3.032396258,-3.431141258,1.489953632
6.54375,78.75208333,0.04285,0.0351,2951,1.056068926,-3.150049634,-3.349554149,1.220797721
8.627083333,72.04375,0.0326,0.0206,3199,1.15172795,-3.423442991,-3.882464203,1.582524272
14.41875,73.79375,0.0512,0.04135,53,1.057405415,-2.972015747,-3.185682858,1.238210399
19.96041667,71.79375,0.0592,0.06865,29,0.964980173,-2.826833737,-2.678734147,0.862345229
8.252083333,75.54375,0.0635,0.05715,1648,1.026042725,-2.756715373,-2.862075889,1.111111111
22.41875,68.83541667,0.0963,0.1062,33,0.979024868,-2.34028696,-2.24243117,0.906779661
19.91875,71.29375,0.04595,0.0453,36,1.003736079,-3.08020143,-3.094448246,1.014348786
12.50208333,81.37708333,0.0543,0.0539,3514,1.001854404,-2.913231052,-2.920624801,1.00742115
12.33541667,89.33541667,0.0329,0.01805,3083,1.207499738,-3.414282621,-4.014609594,1.822714681
6.91875,79.37708333,0.05875,0.0425,2024,1.086354641,-2.834464126,-3.158251203,1.382352941
8.29375,74.08541667,0.02845,0.01525,2768,1.228867852,-3.559607118,-4.183175776,1.86557377
10.62708333,75.46041667,0.0447,0.0389,69,1.03796216,-3.107781777,-3.246761028,1.149100257
8.377083333,79.58541667,0.0534,0.0468,1142,1.034303575,-2.929944533,-3.061872076,1.141025641
11.66875,72.12708333,0.037,0.0245,1340,1.128879939,-3.296837366,-3.709082161,1.510204082
20.37708333,69.33541667,0.025,0.0157,262,1.168944239,-3.688879454,-4.154094567,1.592356688
6.252083333,79.12708333,0.0507,0.0439,2943,1.03807902,-2.981829368,-3.125840959,1.154897494
12.79375,81.87708333,0.06335,0.04955,3455,1.062949978,-2.759080372,-3.004773018,1.278506559
8.460416667,76.66875,0.04445,0.0286,52,1.131495605,-3.113390317,-3.554348561,1.554195804
11.25208333,81.54375,0.0717,0.0664,3585,1.018302964,-2.635264531,-2.712058222,1.079819277
11.83541667,89.87708333,0.03295,0.0184,3116,1.200058531,-3.412764018,-3.995404614,1.79076087
11.79375,73.04375,0.049,0.03975,1236,1.056810378,-3.015934981,-3.225145438,1.232704403
9.710416667,80.62708333,0.0792,0.0674,24,1.038315099,-2.53577898,-2.697110261,1.175074184
20.79375,69.21041667,0.03636,0.025,314,1.116373997,-3.31428601,-3.688879454,1.4544
12.87708333,81.91875,0.0739,0.0613,3444,1.045418606,-2.605042451,-2.791975436,1.205546493
7.29375,75.16875,0.05585,0.04265,2646,1.071846601,-2.885085753,-3.154728005,1.309495897
8.252083333,75.79375,0.0393,0.0277,1463,1.10531363,-3.23653076,-3.586322866,1.418772563
8.91875,74.21041667,0.0338,0.0211,2725,1.154524621,-3.387294476,-3.858482239,1.601895735
11.62708333,72.96041667,0.04495,0.03255,1622,1.09267701,-3.102204518,-3.42497791,1.380952381
18.54375,88.41875,0.0538,0.0447,2154,1.048763489,-2.922481812,-3.107781777,1.203579418
8.16875,73.25208333,0.0386,0.0257,2157,1.125292596,-3.254503003,-3.661264287,1.501945525
12.08541667,73.79375,0.0468,0.0366,1977,1.068286575,-3.061872076,-3.307707039,1.278688525
20.54375,71.83541667,0.0716,0.09115,32,0.9465017,-2.636660205,-2.395248778,0.785518376
9.54375,82.29375,0.04995,0.03435,3717,1.105870122,-2.996732774,-3.37115326,1.454148472
8.377083333,73.04375,0.0401,0.0373,1518,1.020000868,-3.216378945,-3.288761952,1.075067024
20.33541667,71.71041667,0.0684,0.08425,31,0.952993757,-2.682382454,-2.47396671,0.811869436
20.25208333,70.50208333,0.0375,0.0335,78,1.032121326,-3.283414346,-3.39620984,1.119402985
17.91875,71.79375,0.04615,0.03645,95,1.06561717,-3.075858318,-3.311813821,1.26611797
